,description,category,entrepreneurs,location,website,website_length,shark1,shark2,shark3,shark4,shark5,sharks,shark_group,title,episode-season,deal,episode,askedFor,exchangeForStake,valuation,season,Multiple_Entreprenuers
120,A service that creates customized articles of clothing.,Men and Women's Shoes,Nick Romero, CA,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,The Ave Venice,3-10,0,10,125000,15,833333,3,0
121,Beer-infused ice cream.,Specialty Food,"Steve Albert, Larry Blackwell and Jason Conroy", CT,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Brewer's Cow Ice Cream,3-10,0,10,125000,15,833333,3,1
122,A line of fully-protective and fashionable safety gear for people who ride scooters and motorcycles.,Men and Women's Apparel,Arlene Battishill and Desiree Estrada, CA,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,GoGoGear,3-10,1,10,300000,15,2000000,3,1
123,"Motivating workout apparel, featuring secret logos that are made visible by the wearer's perspiration.",Fitness Apparel and Accessories,Ben Wood, NY,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,ViewSport,3-11,0,11,500000,20,2500000,3,0
124,Premium wine sold by the glass in individually-sealed plastic cups.,Alcoholic Beverages,James Martin, OR,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Copa di Vino,3-11,0,11,300000,5,6000000,3,0
125,"A company that handcrafts 25 varieties cookies and brownies, which are sold to corporate customers and in the company's own retail stores.",Specialty Food,"Brenda ""Blondie"" Coffman", IN,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Blondies Cookies,3-11,0,11,200000,3,6666667,3,0
126,"A line of fashionable handbags featuring ""magna-fab"", a removable magnet that attaches to the front of the bag, allowing for the design to be changed up.",Women's Accessories,Paul d'Auriac and Debbie Brooks, NY,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Debbie Brooks Handbags,3-12,0,12,540000,20,2700000,3,1
127,"NailPak by Duality Cosmetics is the most portable manicure solution and a touching story. A mother's bonding ritual with her daughters turned commercial success, NailPak came from their evenings together spent doing each others' nails. They came up with NailPak, a self-contained package that combines nail polish and polish remover along with pads and a file.",Personal Care and Cosmetics,Barbara Lampugnale, CT,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Nail Pak,3-12,1,12,50000,20,250000,3,0
128,"Lollacup is one well-engineered sippy cup. It comes with a valve-free, weighted straw that small children can easily learn to drink from, even when Lollacup is tilted. The cup also has handles for easy gripping, but they are removable in case Lollacup needs to be put into a cupholder. Made in the USA, Lollacup is also dishwasher safe and made with materials that are FDA-approved to be used by young children.",Baby and Child Care,Hanna Lim, CA,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Lollacup,3-12,1,12,100000,15,666667,3,0
129,Tank tops with interchangeable straps.,Women's Apparel,Nicole Bilsky and Lindsay Johnson, PA,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Trimi Tanks,3-12,0,12,57000,30,190000,3,1
130,Boots that transform into a shoe and back again. The removable (and interchangeable) boot uppers are attached to the shoe portion by a zipper.,Women's Shoes,Andrew Goodrum and Queenie Davis, GA,0,short,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Boot Illusions,3-13,1,13,100000,30,333333,3,1
131,An online store for customizable bicycles.,Cycling,Fleetwood Hicks, TX,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Villy Customs,3-13,1,13,500000,33,1515152,3,0
132,"AirBedz are air mattresses purpose-built for use on the beds of pick-up trucks. An AirBedz air mattress will always fit perfectly on a truck bed thanks to specially-designed cutouts on each side, which fit snugly over the wheel wells. Available sizes to fit compact, mid and full-sized trucks, every AirBedz mattress also includes a built-in, battery-powered, rechargeable pump for easy inflation. The unique design of AirBedz maximizes the usable area on the truck bed, while the 12-inch thickness and integrated air coil system assures comfort.",Furniture,Jim Pittman, CA,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,AirBedz,3-13,0,13,250000,15,1666667,3,0
133,"A fun, all-inclusive dance workout for people of all ages, shapes and sizes.",Fitness Programs,"Billy Blanks, Jr.", CA,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Billy Blanks Jr.'s Dance With Me,3-14,1,14,100000,20,500000,3,0
134,Interchangeable swimsuit separates designed to be mixed up.,Women's Apparel,Frank Scozzafava and Adam DiSilvestro, NY,0,short,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Mix Bikini,3-14,1,14,50000,5,1000000,3,1
135,A rock band.,Entertainment,Tom Callahan, CA,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,CAB-20 Rock Band,3-14,0,14,200000,20,1000000,3,0
136,"Now doing business under the Wild Friends brand, these enterprising college students went into the tank with their wholesome and creatively flavored line of nut butters. Their all-natural nut butters come in delightful flavor combinations such as honey pretzel, cinnamon raisin, sesame cranberry, chocolate coconut, and vanilla espresso. Can't decide on a nut butter? Wild Friends offers variety packs. Want your nut butters on the go? They come in travel-friendly single serve sizes too. These days, Wild Friends sells their peanut butter, almond butter, and sunbutter products online and in major food retailers across the US.",Specialty Food,Erika Welsh and Keeley Tillotson, OR,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Wild Squirrel Nut Butter,3-14,1,14,50000,10,500000,3,1
137,An energy drink marketed to women over the age of 35.,Non-Alcoholic Beverages,Ryan Custer, TX,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Cougar Energy,3-15,0,15,150000,30,500000,3,0
138,"Socially-conscious, recyclable sneakers.",Men and Women's Shoes,Gary Gagnon, NC,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Remyxx,3-15,1,15,50000,10,500000,3,0
139,A home gym for a total body workout.,Fitness Equipment,Frank Campitelli and Debrae Barensfeld, OH,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Nitroforce Industries,3-15,0,15,250000,10,2500000,3,1
140,UniKey provides a smart lock system called Kevo that works with smartphones and the specially-made Kevo fob.,Electronics,Phil Dumas, FL,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,UniKey Technologies,3-15,1,15,500000,33,1515152,3,0
141,A massage therapy system in which the therapist walks on the patient's back.,Fitness Programs,Todd Miller, AZ,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Body Walking,4-1,0,1,100000,10,1000000,4,0
142,A ticketless coat checking system for events.,Consumer Services,Derek Pacque, NY,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,CoatChex,4-1,0,1,200000,10,2000000,4,0
143,Non-toxic bedbug glue traps.,Pest Control,Maria Curcio and Veronica Periongo, MA,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Buggy Beds,4-1,1,1,125000,7,1785714,4,1
144,A belt featuring a buckle that opens to make a beverage holder.,Novelties,Jay Kriner, CO,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Bev Buckle,4-1,1,1,50000,10,500000,4,0
145,"eCreamery makes small-batch ice cream, gelato, and sorbet in classic and experimental flavors alike. Aside from their brick-and-mortar location in Omaha, they also have a strong online presence, and will ship a pint of any flavor directly to your door. With eCreamery, the customer wields the scoop, so to speak. You can customize any order or even create your own flavor outright. eCreamery will hand-pack your frozen treat in pints or even batches of single-serve cups, with personalized labels of your choosing.",Specialty Food,Abby Jordan and Becky App, NE,1,short,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,eCreamery,4-2,0,2,250000,33,757576,4,1
146,Alpha M is a program consisting of six DVDs that help men analyze and build the perfect basic wardrobe.,Consumer Services,Aaron Marino, GA,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Alpha M,4-2,0,2,50000,10,500000,4,0
147,Surf-inspired exercise equipment and group fitness classes.,Fitness Programs,Mike Hartwick and Sarah Ponn, NH,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,SurfSet Fitness,4-2,1,2,150000,10,1500000,4,1
148,"A messaging app that hides a list of contacts that the user wants to keep secret, then intercepts calls and messages to and from those contacts.",Mobile Apps,Neal Desai, CA,0,short,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,CateApp,4-2,1,2,50000,5,1000000,4,0
149,A patent-pending strap that keeps the wearer's posture perfect.,Health and Well-Being,Mike Lane and Mark Franklin, OR,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Posture Now,4-3,1,3,100000,15,666667,4,1
150,"A new kind of reusable diaper, made in a pocket style that holds a microfiber pad inside.",Baby and Child Care,Tereson Dupuy, LA,1,short,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,FuzziBunz,4-3,0,3,500000,15,3333333,4,0
151,A way to wear healing stones around your wrist and make a fashion statement.,Men and Women's Accessories,Lee Dahlberg, FL,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Rock Bands,4-3,1,3,100000,20,500000,4,0
152,A brand of cookies that eschews traditional ingredients in favor of making them gluten-free and vegan.,Specialty Food,Liz and Dan Holtz, VT,1,short,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Liz Lovely Cookies,4-3,0,3,200000,10,2000000,4,1
153,"A hamper with a bungee spring-loaded liner that drops when heavy clothes go in, but then springs back up when you take them out.",Productivity Tools,Marvin Philip, UT,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Lift Hamper,4-4,0,4,85000,12,708333,4,0
154,Back 9 Dips are buffalo chicken dips created with all white meat chicken breasts along with wing and dipping sauces.,Specialty Food,David & Nique Mealy, FL,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Back 9 Dips,4-4,1,4,150000,15,1000000,4,0
155,An exoskeleton device that gives structure to any plastic zipper bag to create a handy and sturdy bowl.,Kitchen Tools,Brian and Kevin Fleming, MO,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Bag Bowl,4-4,1,4,40000,33,121212,4,1
156,"Pillowcase dresses that grow alongside kids, as they are tied with ribbons that allow their height to be adjusted.",Baby and Children's Apparel and Accessories,Aly Lessor, CA,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Cozy Bugs,4-5,1,5,50000,25,200000,4,0
157,"If you don't like to swallow pills, you may feel like there aren't any wellness supplements out there for you. Marz Sprays came up with a solution. Their supplements are designed and packaged as oral sprays. Just a spritz in your mouth and you're good to go. Marz Sprays has five different sprays on offer: ReBoot, Restorative, C-Spray, Slim, and Juicy. C-Spray is their top-seller, a blend of Vitamin C, Vitamin B-12, Vitamin D, Echinacea and other ingredients chosen to boost the immune system. There are Marz Sprays to cover just about anything you might want out of a supplement. Sleep Spray helps you relax and have a restful slumber. ReBoot wakes you up with caffeine. Slim is formulated to help with weight loss. Meanwhile, Juicy is a more general multi-vitamin supplement that's designed to take in small, multiple doses throughout the day.",Homeopathic Remedies,Brandon and Keith Marz, CA,1,short,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Marz Sprays,4-5,1,5,200000,10,2000000,4,1
158,"An energy drink made in the form of a waffle, featuring as much caffeine as a 20-oz cup of coffee.",Specialty Food,Roger Sullivan, WA,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Wired Waffles,4-5,0,5,75000,25,300000,4,0
159,"Mother Nature does it again! Eco Nuts is all-natural laundry detergent that grows on trees. Related to the lychee, soapnuts (also called soapberries) naturally produce a mild surfactant that can be used for laundering clothes. Used for thousands of years by people in Asia, where these shrubs and small trees are common, you can now purchase your own soapnuts for your own laundry! From Eco Nuts, you can purchase these soapberries ready to use, de-seeded and sterilized with no added chemicals. To use them, just toss a few Eco Nuts into the wash with your clothes, and let them do their work. Eco Nuts are certified USDA organic and reusable.",Storage and Cleaning Products,Mona Weiss and Scott Shields, CA,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Eco Nuts,4-6,0,6,175000,15,1166667,4,1
160,Protein-infused flavored water.,Non-Alcoholic Beverages,Tania Patruno and Brandon Jacobs, NJ,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,PRO-NRG,4-6,1,6,250000,15,1666667,4,1
161,"A lobster roll food truck run by two cousins originally from Maine, operating in Southern California.",Specialty Food,Jim Tselikis and Sabin Lomac, CA,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Cousins Maine Lobster,4-6,1,6,55000,5,1100000,4,1
162,"Stretchy, creative beverage cozies.",Novelties,Zach Crain, NC,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Freaker USA,4-6,0,6,200000,10,2000000,4,0
163,A modern take on the slip.,Undergarments and Basics,Shelton Wilder, CA,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,The Shemie,4-7,0,7,60000,20,300000,4,0
164,"Possibly the most successful product in Shark Tank history, Scrub Daddy is a smiley sponge that packs real cleaning power. Dip in warm water to make Scrub Daddy soft and squishy, or run cold water over it to make it firm for those tasks that require a more muscle. Safe on non-stick cookware, china, wood, stainless steel, and counter tops, Scrub Daddy is your go-to sponge for cleaning. Its round shape makes it ergonomically friendly for those times you have to clean the inside of a bottle or container, while the Scrub Daddy smile is also a wonderful tool for easily cleaning spoons and spatulas.",Kitchen Tools,, PA,1,short,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Scrub Daddy,4-7,1,7,100000,10,1000000,4,0
165,An ice cream treat that is safe for dogs.,Pet Products,Matt and Meg Meyer, CO,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,The Bear & The Rat,4-7,0,7,125000,20,625000,4,1
166,"Focus Designs is the maker of the self-balancing unicycle, or the SBU for short. The SBU is a battery-powered unicycle with built-in sensors that keep the rider balanced and moving forward with no need for pedaling. The rider controls the SBU with just their natural leaning motions, and according to the company, it takes only about 20-30 minutes to learn. The SBU is strong yet lightweight, supporting over 300 lbs. on its mere 27-pound frame and accelerating to 10mph in just 3 seconds. The SBU reaches a max speed of 12.5 mph and can take hills of up to a 30% grade.",Cycling,Daniel Wood and David Martschinske, WA,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,The SBU Unicycle,4-7,1,7,300000,10,3000000,4,1
167,A plastic lid that can turn any plate into an airtight container for food storage.,Kitchen Tools,Michael Tseng, CA,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,PlateTopper,4-8,1,8,90000,5,1800000,4,0
168,"The No Fly Cone is designed to be placed over dog, horse and cattle feces to trap flies. It is non-toxic and doesn't require any added attractant.",Pest Control,Bruce Gaither, CA,1,short,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,No Fly Cone,4-8,0,8,25000,15,166667,4,0
169,"Cool Wazoo is a cover that redirects heat back to its source while serving five different functions. It can be a swing cover, high chair cover, shopping cart cover, car shade and a changing pad.",Baby and Child Care,Ginelle Mills, CA,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Cool Wazoo,4-8,1,8,65000,25,260000,4,0
170,"General computer proficiency classes taught remotely online, instead of in a classroom or home setting.",Online Services,David A. Cox, MA,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,PC Classes Online,4-9,0,9,150000,15,1000000,4,0
171,A search engine for real estate.,Online Services,Bill Lyons, CA,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,ReVestor,4-9,0,9,250000,10,2500000,4,0
172,"Ice Chips are sugar-free hard candy sweetened with Xylitol and smashed to bits into its distinctive ""ice chips"" shape. The business is run by two enterprising friends, Bev Vines-Haines and Charlotte Clary, who over their years of friendship have worked on a tons of ideas and projects until finally coming across Ice Chips. These two grandmothers have 37 grandchildren between them and wanted to make a candy that was healthy yet tasted good enough that their brood would like it too.",Specialty Food,Beverly Vines-Haines and Charlotte Clary, WA,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Ice Chips Candy,4-9,1,9,250000,15,1666667,4,1
173,Costumes that instantaneously transform the wearer from a human into a motorized vehicle.,Costumes,Drew Beaumier, CA,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Drive Suits,4-9,1,9,150000,20,750000,4,0
174,A subscription service for neckwear.,Men's Accessories,David Powers and Scott Tindel, NY,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Tie Try,4-10,0,10,100000,25,400000,4,1
175,Caffeine-free nutrition shot designed and tested by special ops forces.,Specialty Food,Rob Dyer, CA,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Ruckpack,4-10,1,10,75000,10,750000,4,0
176,An online boutique where brides can buy and resell used wedding dresses.,Weddings,Jackie Courtney, NY,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Nearly Newlywed,4-10,0,10,35000,10,350000,4,0
177,An atmospheric dinner and drinks cruise.,Entertainment,Shane Cianciolo and Nathan Buffett, CA,0,short,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Corks Away,4-10,0,10,105000,20,525000,4,1
178,A nightlife fashion accessory that replaces a handbag by allowing the wearer to carry her essentials around her leg instead.,Women's Accessories,Connor Pastoor and Jillian Jaccard, CA,0,short,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Partie Poche,4-11,0,11,100000,20,500000,4,1
179,"A company that rents live, potted Christmas trees as an eco-friendly and good-spirited alternative to cut trees.",Holiday Cheer,Scott Martin, CA,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,The Living Christmas Tree Company,4-11,1,11,150000,30,500000,4,0
180,Lactose-free fudge treats made from goat's milk.,Specialty Food,Donna McCue, NY,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Fat Ass Fudge,4-11,0,11,250000,5,5000000,4,0
181,A kid-friendly cappuccino bar that both parents and children can enjoy.,Baby and Children's Entertainment,Lucinda Lent and Juliet Boydstun, CA,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,The Coop,4-11,1,11,150000,15,1000000,4,1
182,"Prepackaged, peel-off face paint in a wide variety of designs.",Novelties,Doug Marshall, TX,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,The Game Face Company,4-12,1,12,450000,25,1800000,4,0
183,Professional-quality hair care products for children without harsh chemicals.,Baby and Child Care,Megan Gage, CO,1,short,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Hot Tot,4-12,1,12,50000,15,333333,4,0
184,Arkeg is an arcade game with a beer keg built into its side.,Party Supplies,Brant Myers and Dan Grimm, CA,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,ARKEG,4-12,0,12,100000,33,303030,4,1
